City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Albany,42.6001,-73.9662,12.02,87,91,0.96,US,1663414655
Punta Arenas,-53.15,-70.9167,4.01,75,75,5.66,CL,1663414655
Naze,28.3667,129.4833,27.51,89,100,15.69,JP,1663414656
Santa Fe,-31.6333,-60.7,18.34,74,100,5.36,AR,1663414656
Hilo,19.7297,-155.09,27.93,83,75,3.09,US,1663414657
Kaitangata,-46.2817,169.8464,5.5,89,86,2.43,NZ,1663414657
Upernavik,72.7868,-56.1549,0.84,73,13,5.9,GL,1663414657
Yellowknife,62.456,-114.3525,7.29,93,20,4.12,CA,1663414658
Kapaa,22.0752,-159.319,22.99,81,0,3.6,US,1663414658
Huarmey,-10.0681,-78.1522,17.12,86,73,4.74,PE,1663414658
Busselton,-33.65,115.3333,12.01,79,17,2.89,AU,1663414659
Coyhaique,-45.5752,-72.0662,-2.66,89,87,0.98,CL,1663414659
Salalah,17.0151,54.0924,29.05,84,75,6.69,OM,1663414659
Ahipara,-35.1667,173.1667,8.87,76,83,1.23,NZ,1663414660
Abu Kamal,34.4506,40.9171,38.05,13,0,4.83,SY,1663414660
Myre,69.1036,15.9492,11.12,77,91,9.25,NO,1663414661
Batagay-Alyta,67.8006,130.4114,-1.36,55,6,2.65,RU,1663414661
Hong Kong,22.2855,114.1577,31.88,74,51,4.47,HK,1663414602
Ushuaia,-54.8,-68.3,2.81,75,75,9.77,AR,1663414662
Bredasdorp,-34.5322,20.0403,15.52,61,100,4.39,ZA,1663414663
Port Alfred,-33.5906,26.891,19.54,77,83,2.24,ZA,1663414664
Maragogi,-9.0122,-35.2225,25.85,66,19,3.21,BR,1663414665
Golyshmanovo,56.3979,68.3728,16.0,36,43,5.17,RU,1663414665
Aloleng,16.1307,119.7824,27.92,70,81,3.14,PH,1663414665
Port Elizabeth,-33.918,25.5701,20.16,74,20,7.72,ZA,1663414648
Klaksvík,62.2266,-6.589,9.51,72,100,1.89,FO,1663414666
Saskylakh,71.9167,114.0833,1.46,98,100,8.69,RU,1663414667
Hobart,-42.8794,147.3294,10.92,76,75,5.14,AU,1663414397
Mar del Plata,-38.0023,-57.5575,13.3,88,0,11.18,AR,1663414667
Fichē,9.8,38.7333,17.91,49,10,2.2,ET,1663414668
Río Gallegos,-51.6226,-69.2181,2.03,75,20,8.75,AR,1663414669
Ingham,42.6,-84.3833,16.92,94,0,2.06,US,1663414669
Butaritari,3.0707,172.7902,27.41,73,13,6.53,KI,1663414669
Selma,36.5708,-119.6121,18.03,73,0,0.0,US,1663414670
Rikitea,-23.1203,-134.9692,22.1,76,7,7.66,PF,1663414670
Torbay,47.6666,-52.7314,13.1,86,75,8.75,CA,1663414671
São Filipe,14.8961,-24.4956,26.25,78,13,4.01,CV,1663414671
Chumikan,54.7183,135.315,10.47,72,85,7.04,RU,1663414671
Gimli,50.6336,-96.9907,14.01,88,100,6.17,CA,1663414672
Kermanshah,34.3142,47.065,33.5,29,0,3.09,IR,1663414672
Jaqué,7.5175,-78.1703,25.3,88,97,3.6,PA,1663414672
Egvekinot,66.3167,-179.1667,2.63,93,100,9.37,RU,1663414673
Pirovskoye,57.6267,92.2658,7.7,90,63,1.65,RU,1663414673
Gorontalo,0.5412,123.0595,24.53,90,100,1.67,ID,1663414673
Isangel,-19.55,169.2667,22.97,83,84,5.88,VU,1663414674
Tuy Hoa,13.0833,109.3,26.82,86,66,1.75,VN,1663414525
Cape Town,-33.9258,18.4232,17.43,66,100,4.63,ZA,1663414395
Safi,32.2994,-9.2372,23.4,68,26,6.6,MA,1663414675
Bluff,-46.6,168.3333,6.83,80,98,4.61,NZ,1663414675
Longyearbyen,78.2186,15.6401,-0.09,74,75,5.14,SJ,1663414676
Castro,-24.7911,-50.0119,11.54,75,80,5.42,BR,1663414676
Laramie,41.3114,-105.5911,10.53,84,75,2.57,US,1663414677
Hithadhoo,-0.6,73.0833,28.05,70,18,3.54,MV,1663414677
Guanajuato City,21.0186,-101.2591,14.44,82,93,4.12,MX,1663414458
Kahului,20.8947,-156.47,24.36,73,0,1.54,US,1663414677
Muros,42.7762,-9.0603,23.94,69,100,0.33,ES,1663414678
Hamilton,39.1834,-84.5333,18.18,94,40,2.06,US,1663414618
Port-Cartier,50.0334,-66.8654,9.86,63,16,4.89,CA,1663414678
Qaanaaq,77.484,-69.3632,-3.4,66,15,3.03,GL,1663414679
Fortuna,40.5982,-124.1573,13.14,88,63,0.27,US,1663414679
Kolvereid,64.8655,11.6047,12.49,83,100,2.26,NO,1663414680
Tiksi,71.6872,128.8694,1.46,99,100,1.1,RU,1663414680
Kalmar,56.6616,16.3616,17.86,60,20,5.66,SE,1663414681
Pechenga,69.5259,31.1703,9.52,98,100,4.63,RU,1663414681
Nikolskoye,59.7035,30.7861,13.94,85,98,3.62,RU,1663414681
Dikson,73.5069,80.5464,1.97,74,21,4.08,RU,1663414682
Ketchikan,55.3422,-131.6461,8.26,93,0,2.57,US,1663414682
Carnarvon,-24.8667,113.6333,20.05,72,1,7.54,AU,1663414684
Jamestown,42.097,-79.2353,13.8,77,0,2.06,US,1663414684
Bathsheba,13.2167,-59.5167,29.34,84,20,7.72,BB,1663414685
Yumen,40.2833,97.2,22.23,21,77,4.58,CN,1663414685
Ponta do Sol,32.6667,-17.1,29.28,76,33,4.38,PT,1663414686
Carayaó,-25.1833,-56.4,20.45,56,0,4.6,PY,1663414686
Vao,-22.6667,167.4833,22.0,71,34,8.68,NC,1663414686
Puerto Ayora,-0.7393,-90.3518,18.64,89,24,0.45,EC,1663414687
Shingū,33.7333,135.9833,26.38,95,100,7.53,JP,1663414618
George Town,5.4112,100.3354,29.97,78,20,2.68,MY,1663414687
Bonavista,48.6499,-53.1147,11.29,78,85,10.54,CA,1663414688
Maroantsetra,-15.4333,49.7333,23.33,75,40,5.85,MG,1663414689
Mahébourg,-20.4081,57.7,25.16,65,75,7.72,MU,1663414689
Vaini,-21.2,-175.2,23.09,94,75,4.63,TO,1663414690
Tuktoyaktuk,69.4541,-133.0374,3.78,90,100,5.2,CA,1663414690
Mataura,-46.1927,168.8643,3.39,94,97,1.41,NZ,1663414691
Broome,42.2506,-75.833,14.26,84,0,0.45,US,1663414691
Elban,50.1018,136.5094,11.68,80,100,4.44,RU,1663414692
Qaqortoq,60.7167,-46.0333,10.03,71,100,5.54,GL,1663414692
Taoudenni,22.6783,-3.9836,39.05,13,0,3.62,ML,1663414692
Barrow,71.2906,-156.7887,1.01,86,100,11.83,US,1663414693
Tiradentes,-21.1103,-44.1781,12.23,64,94,5.3,BR,1663414693
Riyadh,24.6877,46.7219,40.08,10,3,1.75,SA,1663414637
Escuintla,14.305,-90.785,23.66,91,100,1.84,GT,1663414694
Khatanga,71.9667,102.5,0.11,73,100,4.97,RU,1663414694
Aklavik,68.2191,-135.0107,2.3,94,48,3.99,CA,1663414694
Kavaratti,10.5669,72.642,27.52,77,75,6.25,IN,1663414694
Batesville,35.7698,-91.641,19.23,83,0,0.0,US,1663414695
Portland,45.5234,-122.6762,13.24,86,40,3.6,US,1663414534
Lebu,-37.6167,-73.65,6.35,83,100,7.53,CL,1663414696
Arraial do Cabo,-22.9661,-42.0278,17.92,77,75,5.14,BR,1663414696
Krasyliv,49.6519,26.9725,17.0,60,100,2.56,UA,1663414697
Hofn,64.2539,-15.2082,8.93,68,96,2.95,IS,1663414697
Bethel,41.3712,-73.414,15.93,80,100,0.45,US,1663414697
Nanortalik,60.1432,-45.2371,8.3,78,100,2.46,GL,1663414698
Mahon,39.8885,4.2658,24.31,50,20,11.32,ES,1663414613
Sechura,-5.5569,-80.8222,17.85,85,31,4.62,PE,1663414699
Krasne,49.9145,24.6134,17.66,50,100,2.82,UA,1663414699
Narsaq,60.9167,-46.05,14.12,72,100,7.04,GL,1663414699
Taketa,32.9652,131.3785,24.88,98,100,5.02,JP,1663414700
Provideniya,64.3833,-173.3,7.17,92,100,3.96,RU,1663414700
College,64.8569,-147.8028,9.89,82,0,4.12,US,1663414700
Labuhan,-6.8844,112.2051,28.17,70,99,3.98,ID,1663414701
Nagapattinam,10.7667,79.8333,29.52,72,94,7.1,IN,1663414701
Dingle,10.9995,122.6711,24.89,88,87,3.1,PH,1663414702
Basco,20.4487,121.9702,28.61,73,99,6.95,PH,1663414702
Kavieng,-2.5744,150.7967,27.82,77,45,5.12,PG,1663414702
Hirara,24.8,125.2833,27.15,89,75,6.69,JP,1663414703
Mount Isa,-20.7333,139.5,27.87,17,0,5.14,AU,1663414703
Danielskuil,-28.1887,23.5395,25.51,20,73,6.93,ZA,1663414703
Atasū,48.6814,71.6433,18.51,17,44,4.06,KZ,1663414704
Atuona,-9.8,-139.0333,24.69,73,15,8.9,PF,1663414704
New Norfolk,-42.7826,147.0587,10.72,76,97,1.79,AU,1663414704
Los Llanos de Aridane,28.6585,-17.9182,24.86,92,20,3.6,ES,1663414443
Leningradskiy,69.3833,178.4167,1.64,98,100,5.8,RU,1663414705
Sulangan,11.1373,123.7228,29.32,72,84,4.73,PH,1663414706
Chak Thirty-one -Eleven Left,30.4333,72.7,36.81,28,0,3.54,PK,1663414707
Saint-Philippe,-21.3585,55.7679,24.77,80,27,7.1,RE,1663414707
Buenos Aires,-34.6132,-58.3772,16.64,77,0,4.63,AR,1663414565
Manokwari,-0.8667,134.0833,25.8,76,100,4.74,ID,1663414708
Panama City,8.9936,-79.5197,24.6,92,75,1.54,PA,1663414709
Saldanha,-33.0117,17.9442,18.03,74,100,6.81,ZA,1663414709
Puerto Nariño,-3.7703,-70.3831,23.6,81,79,1.62,CO,1663414710
Ribeira Grande,38.5167,-28.7,25.22,78,20,4.63,PT,1663414694
Constitución,-35.3333,-72.4167,10.93,94,100,2.92,CL,1663414711
Raja,8.4596,25.678,23.67,92,100,0.73,SS,1663414711
Skjervøy,70.0311,20.9714,10.0,85,100,4.38,NO,1663414711
Fukuechō,32.6881,128.8419,26.65,85,100,11.17,JP,1663414530
Laguna,38.421,-121.4238,17.66,79,0,2.57,US,1663414713
Saint-Louis,16.3333,-15.0,31.8,41,100,5.21,SN,1663414613
Tuatapere,-46.1333,167.6833,4.39,90,97,2.23,NZ,1663414714
Anshun,26.25,105.9333,19.45,93,39,2.31,CN,1663414714
Qasigiannguit,68.8193,-51.1922,4.14,93,100,0.44,GL,1663414715
Tucurú,15.3,-90.0667,21.32,98,99,0.69,GT,1663414715
Vostok,46.4856,135.8833,11.52,98,100,1.4,RU,1663414716
Moramanga,-18.9333,48.2,21.01,53,49,3.56,MG,1663414717
Airai,-8.9266,125.4092,16.63,66,76,1.03,TL,1663414717
Meulaboh,4.1363,96.1285,25.66,83,35,1.66,ID,1663414718
Dutse,11.7594,9.3392,21.64,92,100,4.25,NG,1663414719
Cherskiy,68.75,161.3,0.1,80,100,7.53,RU,1663414719
East London,-33.0153,27.9116,18.52,77,0,2.06,ZA,1663414720
Geraldton,-28.7667,114.6,15.23,82,0,3.6,AU,1663414447
Tasiilaq,65.6145,-37.6368,4.09,97,100,6.31,GL,1663414720
Iqaluit,63.7506,-68.5145,2.85,86,100,4.12,CA,1663414721
Marrakesh,31.6315,-8.0083,25.04,57,40,2.06,MA,1663414721
Kaniama,-7.5667,24.1833,28.16,46,86,3.35,CD,1663414722
San Policarpo,12.1791,125.5072,27.19,81,100,3.09,PH,1663414722
Luanda,-8.8368,13.2343,24.79,70,61,5.26,AO,1663414722
Yulara,-25.2406,130.9889,19.18,19,0,3.22,AU,1663414723
Port-Gentil,-0.7193,8.7815,27.98,74,75,6.69,GA,1663414666
